#{"t_start": 1763845434.2315786, "env_id": "None"}
r,l,t
4.335,34,1.311985
-5.43,22,1.392497
-5.355,18,1.452971
-6.315,66,1.682516
-6.425,72,1.93246
-5.945,48,2.099749
-5.425,22,2.174064
4.865,7,2.201037
4.57,22,2.27416
4.59,21,2.34562
-5.47,24,2.432583
3.985,51,2.61691
-5.325,17,2.684286
4.645,18,2.75105
-5.355,18,2.82168
-5.735,37,2.969837
-5.445,23,3.051669
-5.385,20,3.120972
-6.245,63,3.346174
-5.885,45,3.532607
-5.255,13,3.583622
4.365,32,3.695122
4.875,7,3.718642
4.83,9,3.75063
-6.155,58,3.965866
-5.39,20,4.037061
3.665,67,4.314079
-5.25,13,4.368108
-5.35,18,4.445332
-5.46,23,4.533245
-5.54,27,4.642376
4.435,29,4.747228
-5.31,16,4.803254
-6.38,69,5.079396
-5.665,34,5.217508
-5.165,9,5.2521
-5.39,20,5.328061
-5.335,17,5.394101
-6.31,66,5.670149
-6.145,58,5.905594
-5.64,32,6.020457
-6.45,73,6.269289
-5.495,25,6.364918
-5.335,17,6.422354
-5.235,12,6.464525
-5.145,8,6.491361
-6.345,68,6.717901
4.815,10,6.750536
-5.295,15,6.800935
-5.5,25,6.882814
-5.27,14,6.931865
4.205,40,7.066872
3.73,64,7.274229
4.405,30,7.37392
-5.415,21,7.447864
4.575,22,7.526332
-5.26,13,7.570873
4.455,28,7.663153
-6.245,63,7.878725
-5.51,26,7.965732
-5.485,25,8.054955
4.33,34,8.174139
-5.305,16,8.22545
-5.18,9,8.256781
4.61,20,8.325299
4.485,26,8.420255
-5.895,45,8.573424
4.3,35,11.508063
3.81,60,11.719918
3.535,74,11.969331
4.29,36,12.10209
-5.27,14,12.152372
-5.325,17,12.207481
4.415,30,12.312553
-6.14,57,12.501971
-5.395,20,12.576554
3.71,65,12.805133
4.425,29,12.910172
3.93,54,13.09348
-6.295,65,13.323417
4.51,25,13.415409
-6.215,61,13.616201
-5.195,10,13.651875
4.655,18,13.710445
4.385,31,13.813172
-6.1,55,13.999043
4.415,30,14.100098
-5.46,23,14.180931
4.285,36,14.304811
4.15,43,14.459995
-6.27,64,14.684832
4.87,7,14.708884
3.875,57,14.904366
-5.37,19,14.968806
-5.645,33,15.08053
4.87,7,15.104011
-0.695,35,15.22922
-6.31,66,15.450091
-5.14,7,15.475436
-5.155,8,15.504972
4.405,30,15.60908
-5.41,21,15.677786
3.895,56,15.87764
-5.24,12,15.921788
-5.245,13,15.965326
-5.495,25,16.051459
-5.155,8,16.079998
4.88,6,16.10099
-5.45,23,16.182326
-5.38,19,16.247164
-5.36,18,16.306763
-5.665,34,16.423718
-5.49,25,16.509126
-6.405,71,16.759439
-6.415,71,16.996099
4.445,28,17.090437
-5.87,44,17.234814
-5.425,22,17.311581
-5.44,22,17.386286
4.855,8,17.419255
4.405,30,17.51768
3.845,58,17.712687
4.48,26,17.797235
-5.44,22,17.870346
-5.435,22,17.947257
-5.96,48,18.107586
4.535,24,18.189534
-6.05,53,18.365976
-5.375,19,18.428383
4.865,7,18.451958
-6.25,63,21.22463
-5.41,21,21.299068
-6.165,59,21.501094
-5.45,23,21.578237
-5.405,21,21.64946
-5.24,12,21.691386
-5.495,25,21.779312
-5.23,12,21.82746
-0.43,22,21.904338
-5.27,14,21.952956
-6.275,64,22.173722
3.615,70,22.444879
-5.935,47,22.606364
-6.34,67,22.841262
3.99,51,23.034867
-5.445,23,23.121856
4.485,26,23.216902
-6.19,60,23.461409
-5.17,9,23.50692
3.61,70,23.194379
-5.14,7,23.22116
-5.475,24,23.30424
-5.315,16,23.358954
-6.31,66,23.584067
3.635,69,23.822423
3.67,67,24.058853
-5.605,31,24.17575
-5.51,26,24.269181
4.845,8,24.29994
-5.365,19,24.365298
-5.485,25,24.454906
-5.305,16,24.510883
-5.5,25,24.61158
-5.425,22,24.695677
-5.395,20,24.767139
-6.46,73,25.046587
-6.325,67,25.303397
4.485,26,25.400854
4.84,8,25.429324
4.82,9,25.463577
-5.155,8,25.491987
-5.61,31,25.603288
-6.45,73,25.870564
4.32,34,25.992176
4.355,33,26.113766
-6.2,60,26.328605
4.64,18,26.390999
-5.425,22,26.465307
-6.07,54,26.654019
-5.285,15,26.711108
-5.34,17,26.771387
-5.54,27,26.870275
4.04,48,27.038069
3.595,71,27.285708
4.61,20,27.351769
-5.37,19,27.427457
-5.45,23,27.520518
4.355,33,27.637571
4.255,38,27.767346
-5.165,9,27.797293
-5.355,18,27.858628
-6.275,64,30.67046
-5.39,20,30.737735
-5.5,25,30.838361
-6.53,77,31.113222
-5.445,23,31.18787
4.465,27,31.280972
4.865,7,31.305588
4.43,29,31.406372
3.87,57,31.605175
3.88,56,31.796557
3.88,56,31.987348
-6.43,72,32.238351
-5.325,17,32.300858
4.655,18,32.361826
4.41,30,32.465034
4.88,6,32.486638
-5.83,42,32.626135
-6.485,75,32.883199
-5.18,9,32.918943
-5.255,13,32.965214
-6.305,66,33.191232
-5.755,38,33.333315
-5.495,25,33.417736
-5.38,19,33.481454
4.495,26,33.567487
-6.21,61,33.769401
-5.455,23,33.844083
-6.145,58,34.04297
4.895,6,34.065612
-5.6,30,34.164994
-5.31,16,34.216038
-5.645,33,34.327893
4.65,18,34.39711
-5.18,9,34.438472
-6.145,58,34.630609
4.31,35,34.746109
-5.17,9,34.775108
4.815,10,34.807778
3.695,66,35.026768
4.87,7,35.052021
4.11,45,35.203684
4.84,8,35.229283
-5.2,10,35.266299
4.16,42,35.414862
4.87,7,35.445027
-6.06,53,35.62539
3.755,63,35.834885
-5.27,14,35.883542
-6.57,79,36.157171
-6.29,65,36.383648
-5.53,27,36.480902
-5.255,13,36.521052
-6.435,72,36.784985
-6.2,60,36.979887
-5.415,21,37.047025
-5.145,8,37.073273
-5.355,18,37.131242
4.605,20,37.197357
-5.425,22,37.267989
-5.805,41,37.399861
-5.545,28,39.857847
4.61,20,39.927639
4.34,33,40.032213
-5.925,47,40.184602
3.935,54,40.361865
-5.235,12,40.402143
-5.605,31,40.505161
-6.1,55,40.684371
4.65,18,40.748439
-5.375,19,40.818058
-6.275,64,41.031807
-5.64,32,41.140045
4.115,45,41.29744
-5.405,21,41.37101
-6.185,60,41.565873
3.85,58,41.754127
4.18,41,41.884503
3.565,72,42.119817
4.89,6,42.139237
-5.275,14,42.185311
4.31,35,42.294742
-5.33,17,42.347924
4.39,31,42.450683
-1.35,68,42.669312
4.375,32,42.773513
-5.4,20,42.837295
-5.565,29,42.932092
-6.29,65,43.138716
4.55,23,43.218643
-5.275,14,43.265635
3.465,77,43.522408
-6.39,70,43.764333
-5.325,17,43.819329
-5.535,27,43.912805
3.935,54,44.112993
-6.07,54,44.304396
-5.765,39,44.44956
3.7,65,44.685011
-5.705,36,44.820769
4.245,38,44.955096
-5.18,9,44.984881
3.57,72,45.223825
-5.455,23,45.303553
3.74,63,45.528729
4.645,18,45.612732
-5.235,12,45.687734
4.375,32,45.855932
4.21,40,46.045751
4.0,50,46.310363
3.89,56,46.536868
-5.45,23,46.630375
4.595,21,46.709574
-5.695,35,46.83747
-5.28,14,46.88641
4.87,7,46.912039
3.41,80,50.855843
-5.245,13,50.940202
4.035,49,51.255471
-5.385,20,51.406118
-5.51,26,51.538233
-5.625,32,51.672513
4.26,37,51.821388
-5.65,33,51.985888
-6.255,63,52.321727
-5.4,20,52.440894
-5.37,19,52.549202
-5.63,32,52.710175
-6.055,53,52.964061
-6.125,57,53.22118
-5.35,18,53.294664
-5.68,34,53.42522
-5.51,26,53.531878
4.875,7,53.559777
-5.225,12,53.61822
4.455,28,53.724554
4.41,30,53.850657
4.58,21,53.966735
4.15,43,54.20406
-5.33,17,54.292178
-1.17,59,54.498494
-6.37,69,54.738508
-5.415,21,54.820183
-5.145,8,54.854269
-5.375,19,54.918001
3.67,67,55.150679
-5.41,21,55.273083
4.87,7,54.709157
-5.455,23,54.82211
-5.61,31,54.984284
4.885,6,55.006828
3.675,67,55.345944
3.665,67,55.732172
4.855,8,55.779272
4.64,18,55.923323
-5.235,12,55.992183
-5.4,20,56.092281
4.875,7,56.119141
4.88,6,56.150393
4.435,29,56.246768
-5.315,16,56.305027
-6.455,73,56.557142
-5.385,20,56.636953
3.615,70,56.922884
-5.365,19,57.016443
-5.35,18,57.109948
3.83,59,57.41735
-5.315,16,57.514102
-6.465,74,57.875044
-5.145,8,57.915397
-5.33,17,57.987709
-5.28,14,58.057538
-6.085,55,58.252682
3.355,83,58.590687
-5.36,18,58.668273
4.865,7,58.697584
4.575,22,58.792534
-5.46,23,58.877092
4.565,22,58.967701
-5.455,23,59.062981
-5.385,20,59.131701
-5.375,19,59.198711
-5.47,24,59.305829
-5.5,25,59.415211
3.93,54,63.384201
-6.245,63,63.647304
-6.28,64,63.938102
4.435,29,64.051673
4.5,25,64.154398
4.125,44,64.309246
-5.465,24,64.401969
3.475,77,64.693123
-5.44,22,64.769661
-5.58,29,64.910775
4.465,27,65.052801
4.62,19,65.1572
-5.355,18,65.253432
-5.38,19,65.365412
4.23,39,65.59885
-5.735,37,65.745799
3.635,69,66.008415
-5.4,20,66.083639
3.64,68,66.418147
4.365,32,66.537876
-5.305,16,66.590479
4.645,18,66.653626
4.355,33,66.763651
-5.53,27,66.856312
4.38,31,66.963837
-5.455,23,67.05204
4.83,9,67.082228
-6.155,58,67.293757
4.525,24,67.372524
-6.33,67,67.617532
4.88,6,67.643565
4.42,29,67.760957
4.45,28,67.870598
-5.305,16,67.929506
4.865,7,67.960031
4.565,22,68.040946
4.455,28,68.138314
-5.3,15,68.196698
3.425,79,68.488439
4.88,6,68.51258
-6.3,65,68.741208
4.57,22,68.817046
-5.19,10,68.849611
-5.31,16,68.912296
-5.35,18,68.973096
4.89,6,68.99316
4.875,7,69.01557
-5.49,25,69.096426
-5.33,17,69.152779
4.585,21,69.225173
-5.675,34,69.340055
4.86,7,69.362993
-6.29,65,69.577698
4.43,29,69.678043
-5.835,42,69.822416
4.39,31,69.926704
-5.27,14,69.983626
4.855,8,70.012758
-5.165,9,70.042526
4.575,22,70.122716
-6.395,70,70.361375
3.815,60,70.558922
3.88,56,70.7484
-5.49,25,70.835531
-5.62,31,70.940195
4.885,6,70.960331
4.87,7,70.984201
-5.44,22,71.057916
-5.63,32,73.650294
-5.3,15,73.704275
-5.535,27,73.832647
-5.47,24,73.964267
-5.29,15,74.041149
4.37,32,74.193842
-5.45,23,74.282951
4.855,8,74.31745
4.62,19,74.400633
-5.335,17,74.476903
-5.31,16,74.55107
-5.285,15,74.6132
-5.925,47,74.773722
-5.395,20,74.840393
4.085,46,74.993841
-5.22,11,75.039478
4.885,6,75.060615
4.395,31,75.178759
-5.32,16,75.232423
-5.295,15,75.282288
-5.405,21,75.350049
4.57,22,75.426533
-6.525,77,75.714571
-5.265,14,75.760432
3.875,57,75.955072
-5.12,6,75.976663
4.335,34,76.09053
4.52,24,76.173729
-5.45,23,76.253359
-5.37,19,76.326326
-5.855,43,76.473885
-5.355,18,76.530651
-6.48,74,76.773534
3.97,52,76.948194
-5.515,26,77.033821
-6.25,63,77.244801
-5.76,38,77.3722
-5.68,34,77.487787
-6.43,72,77.730132
-6.305,66,77.963094
-5.81,41,78.102245
-5.485,25,78.183925
3.775,62,78.392343
-5.14,7,78.422065
3.87,57,78.60351
-5.34,17,78.657468
4.435,29,78.74984
4.195,41,78.879806
-5.35,18,78.937375
-5.585,30,79.035685
3.65,68,79.265832
4.62,19,79.328612
-5.465,24,79.410177
-5.635,32,79.519678
4.62,19,79.584792
-5.5,25,79.673134
4.405,30,79.77331
-5.29,15,79.822655
-5.135,7,79.854177
-5.665,34,79.963462
-5.125,7,79.987324
-6.27,64,80.208478
4.34,33,80.320914
-5.56,28,80.411686
3.71,65,80.631816
4.615,20,80.700838
4.36,32,83.236969
4.415,30,83.338649
-5.225,12,83.376863
-5.665,34,83.486953
4.2,40,83.630613
-5.835,42,83.767908
-0.995,50,83.932856
-5.465,24,84.019426
3.61,70,84.259885
-5.35,18,84.319705
-5.565,29,84.41654
-5.45,23,84.495731
-5.665,34,84.610637
4.285,36,84.728428
-5.805,41,84.863298
-6.335,67,85.100126
-5.325,17,85.156665
4.335,34,85.267917
4.39,31,85.395079
-6.2,60,85.589709
-5.32,16,85.645445
-5.405,21,85.72576
-5.62,31,85.837527
-5.41,21,85.917377
-5.31,16,85.974783
4.615,20,86.042357
-5.66,33,86.158778
-5.355,18,86.219502
-6.185,60,86.423406
-5.735,37,86.542015
4.42,29,86.640315
4.25,38,86.770054
4.63,19,86.830479
-5.525,27,86.928808
-6.23,62,86.534327
4.86,7,86.560362
-5.26,13,86.606582
4.605,20,86.675849
4.385,31,86.781712
4.11,45,86.948609
-5.805,41,87.081537
-5.41,21,87.149874
-5.325,17,87.204181
-5.145,8,87.232442
4.875,7,87.256033
-6.52,76,87.498399
-5.245,13,87.539174
-6.555,78,87.793766
-5.615,31,87.897429
-5.21,11,87.93708
-5.345,18,87.99487
-6.2,60,88.203452
-5.38,19,88.268259
-5.4,20,88.332924
-6.265,64,88.555368
3.99,51,88.731602
-5.505,26,88.823648
4.34,33,88.937753
4.385,31,89.038492
-5.79,40,89.167643
3.835,59,89.363262
-6.095,55,89.541209
4.615,20,92.399059
-6.41,71,92.907848
-5.475,24,93.000964
-6.375,69,93.261931
-6.3,65,93.513687
-5.955,48,93.697733
-5.25,13,93.74683
-5.355,18,93.831356
4.59,21,93.906929
4.365,32,94.017707
-5.64,32,94.137423
-5.33,17,94.199395
4.45,28,94.293123
-5.265,14,94.343355
-6.54,77,94.601784
-5.66,33,94.7199
-5.14,7,94.743235
-5.51,26,94.832982
-5.255,13,94.876801
-5.65,33,94.98494
4.475,27,95.076305
-5.245,13,95.121196
4.65,18,95.181534
-6.3,65,95.430523
-5.485,25,95.52392
-5.37,19,95.591315
4.61,20,95.659386
4.225,39,95.798641
-5.345,18,95.865805
4.59,21,95.950329
4.485,26,96.051818
-6.205,61,96.292847
-6.405,71,96.556125
-5.44,22,96.635711
-5.255,13,96.681268
-5.685,35,96.810803
-6.325,67,97.029591
4.33,34,97.139819
-5.27,14,97.185563
3.53,74,97.425611
4.0,50,97.592674
-5.46,23,97.668028
4.37,32,97.777775
-5.355,18,97.834163
-5.52,26,97.925968
-5.87,44,98.072247
-5.36,18,98.135437
-5.36,18,98.206569
-6.21,61,98.410394
-5.435,22,98.483557
-5.265,14,98.530555
4.405,30,98.635356
4.38,31,98.749531
-5.96,48,98.906762
4.545,23,98.985243
-5.285,15,99.034941
-5.425,22,99.108991
4.65,18,99.169142
-5.51,26,99.256461
-5.565,29,99.351654
-5.37,19,99.411612
-5.145,8,99.440324
-5.455,23,99.516919
-6.13,57,99.704256
4.505,25,99.79024
4.0,50,102.416578
3.845,58,102.618322
-5.505,26,102.701663
-6.135,57,102.893102
-5.385,20,102.95671
-5.455,23,103.033739
-6.44,72,103.274073
-5.425,22,103.349309
